id,Şehir,Tarih,Durum,Sıcaklık (°C)
0,Istanbul,2024-11-15,Orta kuvvetli yağmurlu,13.0
1,Istanbul,2024-11-16,Bölgesel düzensiz yağmur yağışlı,11.1
2,Istanbul,2024-11-17,Parçalı Bulutlu,12.0
3,Istanbul,2024-11-18,Çok bulutlu,12.0
4,Istanbul,2024-11-19,Güneşli,11.9
5,Istanbul,2024-11-20,Bulutlu,13.2
6,Istanbul,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.0
7,Istanbul,2024-11-22,Parçalı Bulutlu,11.1
8,Istanbul,2024-11-23,Bölgesel düzensiz yağmur yağışlı,8.8
9,Istanbul,2024-11-24,Güneşli,8.3
10,Istanbul,2024-11-25,Güneşli,10.3
11,Istanbul,2024-11-26,Güneşli,11.4
12,Istanbul,2024-11-27,Güneşli,12.0
13,Istanbul,2024-11-28,Parçalı Bulutlu,12.7
14,Ankara,2024-11-15,Parçalı Bulutlu,9.6
15,Ankara,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.2
16,Ankara,2024-11-17,Bölgesel düzensiz yağmur yağışlı,7.3
17,Ankara,2024-11-18,Bölgesel düzensiz yağmur yağışlı,8.4
18,Ankara,2024-11-19,Bölgesel düzensiz yağmur yağışlı,7.5
19,Ankara,2024-11-20,Güneşli,7.3
20,Ankara,2024-11-21,Bulutlu,10.1
21,Ankara,2024-11-22,Bölgesel düzensiz yağmur yağışlı,12.2
22,Ankara,2024-11-23,Bölgesel düzensiz yağmur yağışlı,7.9
23,Ankara,2024-11-24,Güneşli,4.0
24,Ankara,2024-11-25,Güneşli,7.4
25,Ankara,2024-11-26,Güneşli,8.5
26,Ankara,2024-11-27,Çok bulutlu,9.3
27,Ankara,2024-11-28,Güneşli,11.0
28,Izmir,2024-11-15,Bölgesel düzensiz yağmur yağışlı,15.6
29,Izmir,2024-11-16,Orta kuvvetli yağmurlu,12.4
30,Izmir,2024-11-17,Bölgesel düzensiz yağmur yağışlı,12.1
31,Izmir,2024-11-18,Güneşli,11.8
32,Izmir,2024-11-19,Güneşli,11.8
33,Izmir,2024-11-20,Parçalı Bulutlu,11.7
34,Izmir,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.3
35,Izmir,2024-11-22,Bölgesel düzensiz yağmur yağışlı,15.7
36,Izmir,2024-11-23,Bölgesel düzensiz yağmur yağışlı,13.9
37,Izmir,2024-11-24,Güneşli,10.7
38,Izmir,2024-11-25,Güneşli,12.1
39,Izmir,2024-11-26,Güneşli,12.8
40,Izmir,2024-11-27,Güneşli,12.7
41,Izmir,2024-11-28,Güneşli,13.0
42,Bursa,2024-11-15,Orta kuvvetli yağmurlu,11.4
43,Bursa,2024-11-16,Bölgesel düzensiz yağmur yağışlı,9.5
44,Bursa,2024-11-17,Bölgesel düzensiz yağmur yağışlı,9.3
45,Bursa,2024-11-18,Bulutlu,9.7
46,Bursa,2024-11-19,Güneşli,9.9
47,Bursa,2024-11-20,Parçalı Bulutlu,10.7
48,Bursa,2024-11-21,Bölgesel düzensiz yağmur yağışlı,15.1
49,Bursa,2024-11-22,Bölgesel düzensiz yağmur yağışlı,10.9
50,Bursa,2024-11-23,Bölgesel düzensiz yağmur yağışlı,7.1
51,Bursa,2024-11-24,Güneşli,5.9
52,Bursa,2024-11-25,Güneşli,8.5
53,Bursa,2024-11-26,Güneşli,9.3
54,Bursa,2024-11-27,Güneşli,10.2
55,Bursa,2024-11-28,Güneşli,11.0
56,Antalya,2024-11-15,Bölgesel düzensiz yağmur yağışlı,17.0
57,Antalya,2024-11-16,Bölgesel düzensiz yağmur yağışlı,16.7
58,Antalya,2024-11-17,Şiddetli yağmurlu,14.7
59,Antalya,2024-11-18,Bölgesel düzensiz yağmur yağışlı,15.4
60,Antalya,2024-11-19,Güneşli,15.2
61,Antalya,2024-11-20,Bölgesel düzensiz yağmur yağışlı,14.0
62,Antalya,2024-11-21,Bölgesel düzensiz yağmur yağışlı,14.0
63,Antalya,2024-11-22,Bölgesel düzensiz yağmur yağışlı,15.9
64,Antalya,2024-11-23,Bölgesel düzensiz yağmur yağışlı,16.5
65,Antalya,2024-11-24,Güneşli,16.6
66,Antalya,2024-11-25,Güneşli,17.1
67,Antalya,2024-11-26,Parçalı Bulutlu,17.4
68,Antalya,2024-11-27,Parçalı Bulutlu,16.9
69,Antalya,2024-11-28,Parçalı Bulutlu,16.3
70,Adana,2024-11-15,Bölgesel düzensiz yağmur yağışlı,17.6
71,Adana,2024-11-16,Bölgesel düzensiz yağmur yağışlı,17.5
72,Adana,2024-11-17,Şiddetli yağmurlu,15.2
73,Adana,2024-11-18,Şiddetli yağmurlu,13.4
74,Adana,2024-11-19,Güneşli,15.1
75,Adana,2024-11-20,Parçalı Bulutlu,14.6
76,Adana,2024-11-21,Güneşli,16.2
77,Adana,2024-11-22,Bölgesel düzensiz yağmur yağışlı,15.7
78,Adana,2024-11-23,Bölgesel düzensiz yağmur yağışlı,16.0
79,Adana,2024-11-24,Güneşli,17.7
80,Adana,2024-11-25,Güneşli,18.1
81,Adana,2024-11-26,Parçalı Bulutlu,18.1
82,Adana,2024-11-27,Güneşli,18.4
83,Adana,2024-11-28,Bölgesel düzensiz yağmur yağışlı,17.8
84,Konya,2024-11-15,Güneşli,11.0
85,Konya,2024-11-16,Bölgesel düzensiz yağmur yağışlı,10.3
86,Konya,2024-11-17,Orta kuvvetli yağmurlu,9.7
87,Konya,2024-11-18,Bölgesel düzensiz yağmur yağışlı,9.4
88,Konya,2024-11-19,Bölgesel düzensiz yağmur yağışlı,8.9
89,Konya,2024-11-20,Güneşli,7.3
90,Konya,2024-11-21,Güneşli,8.9
91,Konya,2024-11-22,Bulutlu,9.6
92,Konya,2024-11-23,Parçalı Bulutlu,10.4
93,Konya,2024-11-24,Parçalı Bulutlu,8.0
94,Konya,2024-11-25,Güneşli,8.3
95,Konya,2024-11-26,Güneşli,8.6
96,Konya,2024-11-27,Parçalı Bulutlu,9.8
97,Konya,2024-11-28,Güneşli,10.3
98,Gaziantep,2024-11-15,Güneşli,13.3
99,Gaziantep,2024-11-16,Güneşli,13.0
100,Gaziantep,2024-11-17,Orta kuvvetli yağmurlu,11.0
101,Gaziantep,2024-11-18,Şiddetli yağmurlu,9.5
102,Gaziantep,2024-11-19,Güneşli,10.3
103,Gaziantep,2024-11-20,Bölgesel düzensiz yağmur yağışlı,10.4
104,Gaziantep,2024-11-21,Bölgesel düzensiz yağmur yağışlı,11.3
